id_verb,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM,object,pp1,pp2,correctedness_perc,aff_diff,offline_diff,id_obj,correct,object_log,pp1_log,pp2_log,origin,post_target,post_target_log
15,2,34,Lucía destrozó a la mesa en el bar en diez minutos.,19,0,1,0,0,1,1,0.3924241065979004,1.4489006996154785,1.47133469581604,97.87234042553192,0.4500000000000002,-1.5950000000000002,2,0,-0.9354121194421738,0.3708051307041638,0.38616994518506376,1,0.43087196350097656,-0.8419443014551697
38,5,38,Unai amó la vida en su pueblo durante varios años.,19,0,1,0,0,0,0,0.8045399188995361,1.334824800491333,2.067201614379883,97.87234042553192,-0.4500000000000002,1.2799999999999998,2,1,-0.2174846942660563,0.2888000476530532,0.7261958155558614,1,0.4007835388183594,-0.9143338008673876
28,0,40,Anna comprendió a la maestra en la escuela en dos minutos.,19,0,1,1,0,0,1,1.238715648651123,1.9351129531860352,1.6727807521820068,97.87234042553192,-0.4500000000000002,-0.05333333333333368,0,1,0.21407507562256245,0.6601656985176177,0.5144873627186509,1,0.6048667430877686,-0.5027471045710109
36,2,42,Irene oyó a la discusión en la sala durante una noche.,19,0,1,0,0,0,1,0.9547538757324219,1.9764297008514404,3.3221964836120605,97.87234042553192,-0.4500000000000002,-1.5950000000000002,2,0,-0.046301693463518236,0.6812920356297504,1.2006261556226692,1,0.6652448177337646,-0.4076001591076835
41,1,43,Emma investigó a una empresaria en la ciudad durante varias semanas.,19,0,1,1,1,0,1,0.6762754917144775,1.2926642894744873,1.3991482257843018,97.87234042553192,-0.4500000000000002,0.6549999999999998,1,1,-0.3911547538358256,0.25670542916753974,0.3358636413105804,1,0.5242736339569092,-0.6457415287533771
16,4,46,Valentina venció una adversaria en la guerra en dos años.,19,0,1,1,1,1,0,0.540757417678833,1.211987018585205,1.5670316219329834,97.87234042553192,0.4500000000000002,0.1549999999999998,1,0,-0.6147844968526991,0.1922611768514827,0.44918314308921475,1,0.4516324996948242,-0.7948864836299047
44,0,47,Martín detectó a la intrusa en el hospital en dos minutos.,19,0,1,1,0,0,1,1.463045358657837,1.9336442947387695,1.5134475231170654,97.87234042553192,-0.4500000000000002,-0.05333333333333368,0,1,0.38052012542466157,0.6594064580568193,0.4143901763427292,1,0.3959500789642334,-0.9264671388959251
49,0,48,Alba mencionó a la actriz en el teatro tras varios minutos.,19,0,1,1,0,0,1,0.5461187362670898,1.4458026885986328,1.4777941703796387,97.87234042553192,-0.4500000000000002,-0.05333333333333368,0,1,-0.6049188611888271,0.36866466117468977,0.3905505505680661,1,0.41077518463134766,-0.8897092101735926
6,5,50,Francisco besó la cruz en la iglesia durante unos segundos.,19,0,1,0,0,1,0,0.538470983505249,1.488004446029663,1.3848989009857178,97.87234042553192,0.4500000000000002,1.2799999999999998,2,1,-0.6190216677645989,0.39743592432959696,0.32562714129680553,1,0.4478332996368408,-0.8033342148380811
24,5,51,Coral guió la decisión en el palacio en una hora.,19,0,1,0,0,1,0,0.7254102230072021,1.457566499710083,3.634586811065674,97.87234042553192,0.4500000000000002,1.2799999999999998,2,1,-0.32101795930845667,0.3767682640748092,1.2904954349415727,1,0.4465610980987549,-0.8061790501798721
31,4,52,Miguel recibió una invitada en la casa en un día.,19,0,1,1,1,0,0,0.6629340648651123,1.6626873016357422,2.2676827907562256,97.87234042553192,-0.4500000000000002,0.1549999999999998,1,0,-0.41107974341726844,0.5084351498399542,0.8187585131015028,1,0.4428286552429199,-0.8145723665041006
14,2,53,Helena derribó a la barrera en el campo durante el partido.,19,0,1,0,0,1,1,0.5574808120727539,3.510709047317505,1.8024582862854004,97.87234042553192,0.4500000000000002,-1.5950000000000002,2,0,-0.5843271940468889,1.2558180248597146,0.5891514477651616,1,0.6106724739074707,-0.4931945127875821
18,3,54,María transportó la mochilera en la furgoneta durante un día.,19,0,1,1,0,1,0,0.5535891056060791,1.7366819381713867,1.715935230255127,97.87234042553192,0.4500000000000002,-0.5950000000000002,0,0,-0.5913325540520853,0.5519763606312781,0.5399582557468556,1,0.4535191059112549,-0.7907178804108463
42,4,55,Ismael encontró una conocida en la carretera en pocas horas.,19,0,1,1,1,0,0,0.5318605899810791,2.22735595703125,1.8486275672912598,97.87234042553192,-0.4500000000000002,0.1549999999999998,1,0,-0.6313738728890532,0.8008152125171374,0.6144435082610215,1,0.38879895210266113,-0.94469290160869
23,0,60,Daniel remolcó a la enferma en la calle durante algunos minutos.,19,0,1,1,0,1,1,0.14865612983703613,1.5019619464874268,4.4975433349609375,97.87234042553192,0.4500000000000002,-0.05333333333333368,0,1,-1.9061194936776036,0.4067722177929226,1.50353132214042,1,0.6127135753631592,-0.48985770287257924
35,1,63,Carlos vigiló a una niña en la habitación durante unas horas.,19,0,1,1,1,0,1,0.4219210147857666,1.4141490459442139,3.77746844291687,97.87234042553192,-0.4500000000000002,0.6549999999999998,1,1,-0.86293715121849,0.3465279692349888,1.329054061170067,1,0.39153432846069336,-0.9376820829491201
4,4,64,Jorge arrolló una ciclista en la calle en un segundo.,19,0,1,1,1,1,0,0.5431554317474365,1.4070241451263428,2.5666556358337402,97.87234042553192,0.4500000000000002,0.1549999999999998,1,0,-0.610359753696823,0.3414769387002487,0.942603742455179,1,0.44791531562805176,-0.8031510920510793
21,1,65,Hugo apaleó a una rebelde en la calle durante varios minutos.,19,0,1,1,1,1,1,0.6316080093383789,1.1324496269226074,2.1991236209869385,97.87234042553192,0.4500000000000002,0.6549999999999998,1,1,-0.4594863156513213,0.12438309784727153,0.7880589269033534,1,0.1214447021484375,-2.1082962461532757
32,1,70,Martín buscó a una médica en el hospital durante dos horas.,19,0,1,1,1,0,1,0.4583933353424072,1.7845191955566406,2.4735748767852783,97.87234042553192,-0.4500000000000002,0.6549999999999998,1,1,-0.7800276526436531,0.5791490207165845,0.9056644228204479,1,0.3903694152832031,-0.9406617695120864
11,2,71,Valeria neutralizó a la bomba en la frontera en cinco minutos.,19,0,1,0,0,1,1,0.6128544807434082,1.411785364151001,1.602651834487915,97.87234042553192,0.4500000000000002,-1.5950000000000002,2,0,-0.4896277599001465,0.3448551191249615,0.47165965383473085,1,0.4979085922241211,-0.6973387685555621
19,3,72,Lucas arrastró la víctima en la calle por un tiempo.,19,0,1,1,0,1,0,0.5418992042541504,1.9326927661895752,1.8787164688110352,97.87234042553192,0.4500000000000002,-0.5950000000000002,0,0,-0.6126752648478502,0.658914246150092,0.6305888143202066,1,0.4432373046875,-0.8136499758649532
12,5,74,Paula abatió la resistencia en el ring en pocos minutos.,19,0,1,0,0,1,0,0.4568479061126709,1.2188949584960938,2.820418357849121,97.87234042553192,0.4500000000000002,1.2799999999999998,2,1,-0.7834047528627293,0.19794467656156986,1.0368852277938845,1,0.39359450340270996,-0.9324340788336886
26,2,76,Juan escuchó a la alarma en el balcón durante una noche.,19,0,1,0,0,0,1,0.3527228832244873,1.5509238243103027,1.3473896980285645,97.87234042553192,-0.4500000000000002,-1.5950000000000002,2,0,-1.0420725637072812,0.4388507690684173,0.298169163699967,1,0.8193809986114502,-0.1992061035311537
39,3,78,Valeria admiró la cantante en el teatro durante el concierto.,19,0,1,1,0,0,0,0.46867895126342773,1.5987269878387451,2.127042770385742,97.87234042553192,-0.4500000000000002,-0.5950000000000002,0,0,-0.7578372838235273,0.46920767996134655,0.7547326443308071,1,0.4337961673736572,-0.8351805156360977
43,0,79,Sofía conoció a la chica en el colegio en dos días.,19,0,1,1,0,0,1,0.34261250495910645,1.319042682647705,1.2249610424041748,97.87234042553192,-0.4500000000000002,-0.05333333333333368,0,1,-1.0711551935857093,0.27690623306582035,0.20290904137195123,1,0.42766237258911133,-0.8494212437963717
46,5,80,Alejandro identificó la amenaza en el aeropuerto en dos horas.,19,0,1,0,0,0,0,0.43593549728393555,1.2217977046966553,1.2238702774047852,97.87234042553192,-0.4500000000000002,1.2799999999999998,2,1,-0.8302609885869234,0.20032330260732167,0.2020181959611606,1,0.4006080627441406,-0.9147717292826119
27,4,82,Felipe anunció una cantante en el escenario en cinco minutos.,19,0,1,1,1,0,0,0.4425313472747803,1.6307930946350098,2.150336742401123,97.87234042553192,-0.4500000000000002,0.1549999999999998,1,0,-0.8152439757443407,0.4890664576119617,0.7656244542478703,1,0.6740384101867676,-0.3944681812859406
